Date,Price,Year,Month,Day
2016-10-31,116.02,2016,October,Monday
2016-11-07,116.56,2016,November,Monday
2016-11-14,116.5,2016,November,Monday
2016-11-21,114.71,2016,November,Monday
2016-11-28,113.72,2016,November,Monday
2016-12-05,113.66,2016,December,Monday
2016-12-12,114.23,2016,December,Monday
2016-12-19,115.0,2016,December,Monday
2016-12-26,115.45,2016,December,Monday
2017-01-02,117.0,2017,January,Monday
2017-01-09,117.98,2017,January,Monday
2017-01-16,118.63,2017,January,Monday
2017-01-23,119.43,2017,January,Monday
2017-01-30,120.01,2017,January,Monday
2017-02-06,120.18,2017,February,Monday
2017-02-13,120.15,2017,February,Monday
2017-02-20,120.2,2017,February,Monday
2017-02-27,120.12,2017,February,Monday
2017-03-06,120.02,2017,March,Monday
2017-03-13,119.8,2017,March,Monday
2017-03-20,118.95,2017,March,Monday
2017-03-27,118.03,2017,March,Monday
2017-04-03,116.93,2017,April,Monday
2017-04-10,117.02,2017,April,Monday
2017-04-17,117.54,2017,April,Monday
2017-04-24,118.15,2017,April,Monday
2017-05-01,118.08,2017,May,Monday
2017-05-08,117.06,2017,May,Monday
2017-05-15,115.6,2017,May,Monday
2017-05-22,115.67,2017,May,Monday
2017-05-29,115.79,2017,May,Monday
2017-06-05,115.82,2017,June,Monday
2017-06-12,115.69,2017,June,Monday
2017-06-19,115.12,2017,June,Monday
2017-06-26,114.43,2017,June,Monday
2017-07-03,113.74,2017,July,Monday
2017-07-10,113.58,2017,July,Monday
2017-07-17,113.89,2017,July,Monday
2017-07-24,113.99,2017,July,Monday
2017-07-31,114.16,2017,July,Monday
2017-08-07,114.78,2017,August,Monday
2017-08-14,115.53,2017,August,Monday
2017-08-21,116.04,2017,August,Monday
2017-08-28,116.4,2017,August,Monday
2017-09-04,116.95,2017,September,Monday
2017-09-11,118.14,2017,September,Monday
2017-09-18,118.85,2017,September,Monday
2017-09-25,118.87,2017,September,Monday
2017-10-02,118.13,2017,October,Monday
2017-10-09,117.16,2017,October,Monday
2017-10-16,117.01,2017,October,Monday
2017-10-23,117.04,2017,October,Monday
2017-10-30,117.06,2017,October,Monday
2017-11-06,117.57,2017,November,Monday
2017-11-13,118.91,2017,November,Monday
2017-11-20,119.67,2017,November,Monday
2017-11-27,120.13,2017,November,Monday
2017-12-04,119.75,2017,December,Monday
2017-12-11,119.91,2017,December,Monday
2017-12-18,119.98,2017,December,Monday
2017-12-25,120.0,2017,December,Monday
2018-01-01,120.19,2018,January,Monday
2018-01-08,120.52,2018,January,Monday
2018-01-15,120.96,2018,January,Monday
2018-01-22,121.5,2018,January,Monday
2018-01-29,121.69,2018,January,Monday
2018-02-05,121.73,2018,February,Monday
2018-02-12,121.58,2018,February,Monday
2018-02-19,120.52,2018,February,Monday
2018-02-26,119.55,2018,February,Monday
2018-03-05,119.29,2018,March,Monday
2018-03-12,119.11,2018,March,Monday
2018-03-19,119.17,2018,March,Monday
2018-03-26,119.23,2018,March,Monday
2018-04-02,119.43,2018,April,Monday
2018-04-09,119.96,2018,April,Monday
2018-04-16,120.56,2018,April,Monday
2018-04-23,121.44,2018,April,Monday
2018-04-30,122.22,2018,April,Monday
2018-05-07,123.27,2018,May,Monday
2018-05-14,124.32,2018,May,Monday
2018-05-21,125.93,2018,May,Monday
2018-05-28,127.58,2018,May,Monday
2018-06-04,128.43,2018,June,Monday
2018-06-11,128.61,2018,June,Monday
2018-06-18,127.92,2018,June,Monday
2018-06-25,127.18,2018,June,Monday
2018-07-02,126.54,2018,July,Monday
2018-07-09,126.97,2018,July,Monday
2018-07-16,127.47,2018,July,Monday
2018-07-23,127.5,2018,July,Monday
2018-07-30,127.54,2018,July,Monday
2018-08-06,128.02,2018,August,Monday
2018-08-13,128.39,2018,August,Monday
2018-08-20,128.79,2018,August,Monday
2018-08-27,129.18,2018,August,Monday
2018-09-03,129.76,2018,September,Monday
2018-09-10,130.24,2018,September,Monday
2018-09-17,130.59,2018,September,Monday
2018-09-24,130.59,2018,September,Monday
2018-10-01,129.98,2018,October,Monday
2018-10-08,130.15,2018,October,Monday
2018-10-15,130.81,2018,October,Monday
2018-10-22,130.98,2018,October,Monday
2018-10-29,130.64,2018,October,Monday
2018-11-05,130.11,2018,November,Monday
2018-11-12,128.94,2018,November,Monday
2018-11-19,127.4,2018,November,Monday
2018-11-26,125.77,2018,November,Monday
2018-12-03,124.3,2018,December,Monday
2018-12-10,122.37,2018,December,Monday
2018-12-17,121.02,2018,December,Monday
2018-12-24,120.61,2018,December,Monday
2018-12-31,120.18,2018,December,Monday
